llmstream: 24 layers, 16 slots/layer, 6 tensors/expert, 13.25 MB/expert, prefetch=on
llmstream: prefill pool 32 slots x 6 type-variants (424 MB), shared across layers
ttft: total=26166 ms | template=0 tokenize=3 kv_match=0 prefill=26161 first_sample=2
ttft: ctx_held=0 rendered=717 reused=0 reprefill=717 (100.0% of rendered)
tok 200005 |<|channel|>|
tok  35644 |analysis|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok   8065 | quickly|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok  63282 | collapsed|
tok   8866 | structure|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok   3648 | hot|
tok   3411 | water|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok  48068 | sticky|
tok    326 | and|
tok   6541 | difficult|
tok    316 | to|
tok  38009 | kne|
tok    324 |ad|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok  10143 | soft|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  45397 | gluten|
tok    316 | to|
tok  11424 | relax|
tok    326 | and|
tok    625 | not|
tok   5060 | hold|
tok   9591 | shape|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok  48068 | sticky|
tok     11 |,|
tok   4137 | making|
tok    480 | it|
tok   6541 | difficult|
tok    316 | to|
tok   5318 | handle|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1076 | die|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok    860 | no|
tok  16601 | rise|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok   2550 | ...|
tok   1328 | This|
tok    382 | is|
tok  93185 | repetitive|
tok     13 |.|
tok  41021 | Let's|
tok   1327 | just|
tok   3644 | give|
tok    261 | a|
tok  82463 | concise|
tok   6052 | answer|
tok    364 |.

|
tok   2167 |We|
tok   1757 | should|
tok   8633 | mention|
tok    484 | that|
tok  64016 | yeast|
tok    382 | is|
tok  17372 | killed|
tok   5151 | above|
tok   6574 | ~|
tok   6106 |120|
tok  68854 |°F|
tok    350 | (|
tok   3796 |49|
tok  26557 |°C|
tok    741 |).|
tok   2632 | So|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok  15874 | kill|
tok  64016 | yeast|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok  48068 | sticky|
tok     11 |,|
tok   4137 | making|
tok    480 | it|
tok   6541 | difficult|
tok    316 | to|
tok  38009 | kne|
tok    324 |ad|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
tok   5025 | become|
tok   3101 | too|
tok   9144 | warm|
tok     11 |,|
tok  24297 | causing|
tok    290 | the|
tok  64016 | yeast|
tok    316 | to|
tok   1072 | over|
tok 110117 |produce|
tok  10271 | CO|
tok     17 |2|
tok     11 |,|
tok   8117 | leading|
tok    316 | to|
tok   1072 | over|
tok  27229 |proof|
tok    289 |ing|
tok    326 | and|
tok  38335 | collapse|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3411 | water|
tok    382 | is|
tok   3101 | too|
tok   3648 | hot|
tok     11 |,|
tok    480 | it|
tok    665 | can|
tok   7075 | cause|
tok    290 | the|
tok  41613 | dough|
tok    316 | to|
